Gender,Marital_Status,Dependents,Employment_Type,Education_Level,Annual_Income,Monthly_Expenses,Business_Income,Job_Stability_Years,Existing_EMI,Loan_Type,Loan_Amount,Property_Value,Document_Status,Bank_Balance,Savings_Balance,Eligibility_Status
female,married,3,private,non-graduate,934358,17140,436521,4,287976,education,639947,2800693,unverified,190559,111359,Fully Eligible
male,single,3,private,graduate,2225770,50421,272501,6,54985,home,1609272,9138850,verified,123840,323312,Fully Eligible
male,single,0,private,graduate,1752338,16964,25364,1,90303,business,1871827,9331911,unverified,108637,87639,Fully Eligible
female,single,3,self-employed,non-graduate,274493,2768,443009,5,135574,business,1064241,7390724,verified,67611,10522,Fully Eligible
male,married,0,private,non-graduate,1719171,39097,258253,11,256602,personal,420902,2923105,unverified,255160,246012,Fully Eligible
female,single,0,private,graduate,268148,4483,245444,3,89944,car,1890229,5234726,verified,42147,28915,Partially Eligible
female,single,1,private,postgraduate,2187026,28178,449670,8,218694,personal,1967523,10547302,verified,377122,213398,Fully Eligible
female,married,2,government,postgraduate,540453,11152,335050,5,296994,personal,267068,1339968,verified,131269,43664,Fully Eligible
female,single,2,private,graduate,2065255,47996,478242,7,169179,home,1992055,12653455,verified,169144,171201,Fully Eligible
female,married,2,private,graduate,200443,3974,227357,8,153193,car,1830933,6369889,verified,35401,13156,Partially Eligible
female,married,0,government,graduate,763029,16429,117677,8,84299,business,1611591,9629242,unverified,49720,80086,Fully Eligible
female,single,2,self-employed,non-graduate,1134792,14799,414518,13,177203,car,1252435,7756390,verified,173270,36141,Fully Eligible
female,married,0,self-employed,graduate,1292745,16994,391164,2,192528,home,1794065,4725082,verified,178467,123191,Fully Eligible
female,single,1,private,postgraduate,479453,10900,403712,13,238421,home,1094107,5094535,verified,49689,17726,Fully Eligible
female,married,2,government,graduate,2391651,44439,441724,2,18440,personal,1065605,7879864,verified,330312,279532,Fully Eligible
female,single,0,self-employed,graduate,1606161,19653,43189,13,235699,home,1160008,4643538,verified,304610,233627,Fully Eligible
male,married,2,government,postgraduate,879595,15014,135375,10,140565,car,1185387,8206032,unverified,191924,45935,Fully Eligible
male,single,2,self-employed,postgraduate,910442,17994,303982,5,195253,personal,917736,4987390,verified,188444,57295,Fully Eligible
female,married,1,self-employed,graduate,1044527,12509,433726,13,282790,personal,247214,984584,unverified,174407,98855,Fully Eligible
female,single,3,private,graduate,465066,8951,48566,3,195834,personal,173215,1157065,verified,106684,41290,Fully Eligible
female,single,2,private,graduate,2093014,18911,182613,12,80066,car,1990682,14837167,verified,395098,267805,Fully Eligible
female,single,1,self-employed,graduate,688843,9226,34380,12,288016,personal,519916,3228693,verified,149928,31053,Fully Eligible
female,single,2,private,graduate,2175856,42573,61817,10,98620,education,1804504,5064285,verified,282092,209712,Fully Eligible
female,married,2,private,postgraduate,1970391,21324,356762,1,185745,education,747005,2063267,verified,373733,277164,Fully Eligible
female,single,2,private,graduate,2088379,25137,110974,8,211698,car,745218,3694625,verified,135538,229819,Fully Eligible
female,married,2,self-employed,graduate,614053,14113,482768,6,257552,business,364354,921937,verified,148249,38232,Fully Eligible
male,married,3,private,graduate,336647,6588,134536,3,173525,business,337401,1983830,verified,59203,12629,Fully Eligible
female,married,3,self-employed,non-graduate,1114777,18559,285508,8,259992,personal,1530802,3951783,verified,246746,89500,Fully Eligible
male,single,2,self-employed,graduate,1038152,12300,483898,13,102080,car,815668,6007660,verified,152690,89320,Fully Eligible
female,single,2,private,postgraduate,1329969,18650,271510,11,279834,personal,557100,3845751,unverified,74702,61131,Fully Eligible
female,married,1,private,graduate,449159,8042,317035,1,2061,personal,1372596,9027415,unverified,66658,39357,Fully Eligible
male,single,1,private,graduate,1241737,13562,260464,3,42331,education,1509367,9904558,verified,242334,138089,Fully Eligible
female,single,0,private,graduate,2189034,35817,21610,9,176355,home,1950393,13012779,verified,138052,190584,Fully Eligible
male,married,3,private,graduate,1900848,28797,185482,6,241012,car,782987,3657551,verified,133173,108724,Fully Eligible
female,married,2,private,postgraduate,1603998,26110,311575,1,12081,home,1979095,12783535,verified,97620,232593,Fully Eligible
female,married,3,government,graduate,2374822,23968,6215,9,142876,education,637118,2762385,unverified,175680,104006,Fully Eligible
male,single,1,private,postgraduate,2160697,21840,363118,7,130587,home,1522365,10263681,verified,373515,222563,Fully Eligible
female,married,3,self-employed,graduate,852738,20808,420344,1,147432,education,299191,1672427,unverified,191762,100207,Fully Eligible
male,single,3,private,graduate,220966,5448,87777,1,232852,business,1335551,5731817,verified,31859,13785,Partially Eligible
female,single,2,self-employed,graduate,1461221,22555,408501,5,68667,education,652093,4060821,unverified,309423,110388,Fully Eligible
male,married,2,private,postgraduate,1447970,31107,247913,11,50018,car,1757976,6529336,verified,187825,119244,Fully Eligible
male,single,1,self-employed,postgraduate,808903,15582,138740,4,41619,business,198457,1453364,unverified,178811,87068,Fully Eligible
female,single,2,self-employed,postgraduate,1129344,11611,301214,12,199731,personal,569861,3318714,verified,92055,103309,Fully Eligible
female,single,1,self-employed,graduate,595268,7903,300181,8,56469,car,1565425,7053821,verified,98092,31517,Fully Eligible
male,married,1,private,postgraduate,2330551,31604,86029,13,72335,car,160776,844659,unverified,358981,319527,Fully Eligible
female,married,0,self-employed,graduate,537450,9815,428036,2,145579,car,1967061,12171860,verified,37926,39624,Fully Eligible
female,married,0,private,postgraduate,1445173,26012,461818,6,258663,home,1356304,8797816,unverified,141118,109706,Fully Eligible
female,married,0,private,non-graduate,855385,20294,274046,8,182203,home,1322523,9753334,verified,125676,107764,Fully Eligible
male,single,3,private,graduate,2255946,48504,390416,1,223915,personal,1552438,5503062,unverified,461045,212634,Fully Eligible
male,single,0,private,graduate,341473,7722,64849,3,294165,home,1874875,9415984,verified,78864,19725,Fully Eligible
male,single,2,private,postgraduate,1223105,28360,63698,1,41665,car,877851,2596058,verified,241111,170921,Fully Eligible
male,single,2,self-employed,postgraduate,1361748,29533,194886,7,81322,education,1683696,4901863,verified,147889,172426,Fully Eligible
male,single,0,private,graduate,2033842,28232,74585,1,72995,personal,609774,1842531,verified,143500,207438,Fully Eligible
male,married,3,private,non-graduate,1582015,18852,274136,12,283789,personal,1992118,7565105,verified,245281,144677,Fully Eligible
male,single,1,private,postgraduate,1212968,21666,471505,9,110494,car,700506,4190197,verified,144189,134693,Fully Eligible
male,single,3,self-employed,graduate,900424,17851,391083,8,2693,business,103252,702699,verified,146466,66003,Fully Eligible
male,single,3,private,graduate,2132918,31516,351310,11,53783,home,1023444,4789695,verified,276402,241642,Fully Eligible
female,single,1,private,postgraduate,2252145,50610,433756,3,225116,business,341825,1803474,unverified,283407,77913,Fully Eligible
male,married,1,self-employed,graduate,2073417,50472,341741,12,198303,car,1971323,6962387,verified,481854,161670,Fully Eligible
female,single,1,private,graduate,2132912,38015,455401,13,3293,business,185827,1199588,verified,391404,222019,Fully Eligible
female,single,2,private,graduate,1240825,19782,145584,12,214629,car,619691,4301752,verified,228238,129749,Fully Eligible
female,married,1,private,postgraduate,1819533,40723,431870,4,52057,home,505633,2491751,verified,139638,70170,Fully Eligible
male,single,1,self-employed,postgraduate,1656163,14471,157504,9,26951,home,1961912,6482885,verified,211877,192702,Fully Eligible
male,single,3,self-employed,graduate,1583625,16602,405635,10,283224,personal,388599,981409,unverified,320768,63614,Fully Eligible
male,single,3,private,postgraduate,1711223,38378,434952,6,111261,business,664062,3441206,verified,279596,203464,Fully Eligible
male,married,0,private,non-graduate,1709156,35095,343331,5,3485,business,976156,4869241,verified,242824,238323,Fully Eligible
female,married,3,private,graduate,2375205,36266,28338,13,76547,business,560227,3993882,verified,580860,349248,Fully Eligible
male,married,1,self-employed,postgraduate,1789807,41429,23929,5,138418,business,1328459,3563486,verified,138305,183319,Fully Eligible
male,single,2,government,non-graduate,2405526,34136,453023,1,169961,education,988737,3208211,verified,197619,278290,Fully Eligible
male,married,3,private,postgraduate,226831,4286,471383,12,57224,personal,1092389,3810725,verified,36893,13169,Partially Eligible
male,single,3,private,postgraduate,504188,9531,314744,14,92448,personal,235006,1230402,verified,66066,37784,Fully Eligible
male,single,1,self-employed,graduate,721332,8227,358884,1,253214,education,509126,1997648,verified,105413,22697,Fully Eligible
female,single,3,self-employed,graduate,1011246,13227,171153,3,179282,business,383518,1353203,verified,161369,127168,Fully Eligible
male,single,3,government,graduate,1584306,37389,384654,2,194997,education,1317201,6680945,unverified,119605,178628,Fully Eligible
female,married,1,self-employed,postgraduate,1439906,16400,230931,10,276924,business,1136055,3071058,verified,149785,87770,Fully Eligible
male,married,3,government,non-graduate,2094447,23512,480825,14,83009,education,1478776,10907765,verified,329731,186012,Fully Eligible
female,married,2,private,graduate,1454847,23753,445735,1,16019,personal,661156,4499228,verified,129060,170811,Fully Eligible
male,married,0,private,graduate,958276,9458,311873,12,141425,education,189653,732023,verified,208825,105395,Fully Eligible
male,married,3,private,graduate,1121187,26060,225624,5,134996,car,1715669,7172956,verified,231746,76772,Fully Eligible
female,single,2,self-employed,postgraduate,1649139,16495,38284,14,34595,business,1427881,5325269,verified,269855,122645,Fully Eligible
female,single,3,private,graduate,1596240,29704,51674,14,173651,education,622321,4444613,verified,237816,77429,Fully Eligible
female,married,0,private,postgraduate,1422745,19913,324108,11,220011,business,1730428,9977623,verified,335642,66179,Fully Eligible
male,single,1,private,graduate,1245611,27076,38461,3,59667,home,274922,1403722,verified,249704,97885,Fully Eligible
female,married,0,private,graduate,545277,9904,210843,14,5036,business,1552784,7830686,verified,31422,47743,Fully Eligible
male,single,3,government,graduate,1786936,26455,65581,7,13923,education,306429,1020286,unverified,169180,257468,Fully Eligible
male,single,0,private,non-graduate,474170,11726,272270,8,105157,business,752138,5500559,unverified,30629,42984,Fully Eligible
female,single,0,private,graduate,2005331,18924,300636,10,47049,car,1343204,9500464,verified,499200,105823,Fully Eligible
female,single,1,self-employed,non-graduate,1757862,31576,99284,6,240529,car,461989,3355012,verified,236323,88434,Fully Eligible
male,single,3,private,graduate,2349984,58341,415147,12,105031,education,392557,1552429,verified,180571,167861,Fully Eligible
male,married,0,self-employed,graduate,1551686,30799,68830,5,284298,education,859311,4196224,verified,188737,217634,Fully Eligible
female,single,0,self-employed,graduate,1279617,26440,321558,10,60841,business,926939,4722412,verified,314772,160288,Fully Eligible
female,married,1,government,non-graduate,1972970,17496,382820,12,192558,personal,964397,4772196,verified,155076,176106,Fully Eligible
female,single,2,government,postgraduate,1764967,15336,378946,5,104477,car,1915328,4972090,verified,214247,255380,Fully Eligible
male,single,3,private,graduate,1394553,12460,57969,1,45447,car,1440772,9603820,verified,146651,77897,Fully Eligible
male,single,2,private,postgraduate,1352386,33623,282082,12,82983,home,1501796,9360285,verified,281354,111091,Fully Eligible
male,married,2,private,graduate,1370919,33805,227533,6,50067,home,540359,2633704,verified,75539,41296,Fully Eligible
male,single,1,private,graduate,552188,7680,192065,6,61259,personal,1639592,6291130,verified,132162,73993,Fully Eligible
male,married,1,private,graduate,1302676,17173,138801,3,14164,car,750842,4260941,verified,291459,63753,Fully Eligible
male,single,3,private,postgraduate,1591876,17138,246017,4,237851,education,1122451,3582258,verified,195599,230701,Fully Eligible
female,married,2,government,graduate,582280,8046,364491,4,35773,car,246633,1846390,verified,134070,52907,Fully Eligible
male,single,0,private,graduate,302800,4391,337882,6,163663,education,1553103,4856087,unverified,40922,45200,Partially Eligible
male,married,2,private,graduate,2205746,45889,371233,14,249161,education,1558122,4350700,verified,239068,209452,Fully Eligible
male,married,1,private,graduate,1611570,36697,269095,8,161717,personal,387713,2156476,verified,211761,136424,Fully Eligible
female,married,0,private,graduate,1338806,27818,82172,12,48451,car,290973,1401633,verified,287842,116018,Fully Eligible
male,single,0,government,graduate,1984346,37916,415300,13,15383,business,1688489,10291344,verified,321912,258545,Fully Eligible
male,single,1,private,graduate,621159,13105,238780,13,17761,car,188308,591256,verified,58043,45644,Fully Eligible
female,single,0,self-employed,non-graduate,1935853,39959,137368,9,157480,car,1435557,6199781,verified,123773,256305,Fully Eligible
male,married,2,private,graduate,1958602,31851,407242,9,193262,home,1109607,5553768,verified,335530,267080,Fully Eligible
male,married,1,private,graduate,332774,4635,187070,5,44813,personal,291805,1381683,verified,71108,21517,Fully Eligible
male,married,3,private,graduate,2186138,28521,129563,8,237227,business,1972414,10680952,verified,483360,308726,Fully Eligible
male,single,1,self-employed,graduate,476681,9369,125296,13,51518,business,1954814,5881548,verified,102288,25204,Partially Eligible
male,single,3,private,postgraduate,613851,14929,381495,8,103120,business,478913,2403483,verified,93726,79301,Fully Eligible
female,single,3,private,graduate,1801408,32457,256623,10,100713,education,903303,4763870,verified,226155,90515,Fully Eligible
female,married,1,private,non-graduate,1576269,37108,186098,4,170745,personal,1856508,12819393,verified,386312,183046,Fully Eligible
female,married,1,self-employed,postgraduate,2419027,20732,189593,4,185602,home,1785314,9561036,unverified,567218,355776,Fully Eligible
male,married,3,self-employed,postgraduate,2086963,45025,84122,3,120919,education,435293,2279402,unverified,418239,81673,Fully Eligible
male,single,3,private,graduate,2273772,51296,19225,13,257212,business,811125,5321295,verified,309265,121786,Fully Eligible
male,married,0,private,graduate,1453274,27394,295182,5,240070,education,1556907,4398242,verified,355606,105169,Fully Eligible
female,married,1,government,graduate,1512889,36159,451121,8,146948,education,597957,3432160,verified,188779,110766,Fully Eligible
male,single,1,self-employed,non-graduate,973699,17687,226812,8,16752,business,552818,3625945,verified,181980,50493,Fully Eligible
male,married,0,self-employed,graduate,293988,3628,251269,9,279067,business,980191,2914086,verified,32004,26348,Partially Eligible
female,married,1,self-employed,graduate,650608,7760,347203,14,83090,home,754294,4946556,verified,141270,81252,Fully Eligible
male,married,0,self-employed,graduate,1236070,21751,403587,1,66843,personal,719382,4629784,verified,274440,156136,Fully Eligible
female,married,0,private,postgraduate,2136776,50089,247453,14,52827,car,662039,1658219,verified,324414,183644,Fully Eligible
female,single,1,government,postgraduate,1805083,17219,369484,12,17881,car,243738,909334,verified,293208,122062,Fully Eligible
female,single,2,government,graduate,1410508,25962,487081,4,52965,car,396694,1291751,verified,338115,83220,Fully Eligible
male,married,3,private,graduate,975819,20651,93965,6,289626,home,716780,3624533,verified,76527,113060,Fully Eligible
male,single,1,private,graduate,352135,3611,438491,5,41844,education,1631267,11533111,verified,50805,14166,Fully Eligible
male,married,2,government,graduate,2213654,22755,331303,4,168840,business,772020,4256557,verified,344631,211262,Fully Eligible
male,married,0,private,postgraduate,2114609,30525,86914,13,240552,personal,557293,3070135,verified,451021,200835,Fully Eligible
male,married,2,government,postgraduate,300494,3875,252840,11,143409,car,1617219,5036413,verified,61770,13081,Partially Eligible
male,married,1,private,postgraduate,372738,4338,195548,3,60937,personal,1321105,7704547,verified,63519,32259,Fully Eligible
male,single,1,private,graduate,533308,6210,325920,2,73952,personal,1571878,10911352,unverified,43261,31982,Fully Eligible
female,single,2,private,postgraduate,1277669,13429,9294,9,10421,business,1441516,6698347,verified,167682,63863,Fully Eligible
male,single,1,private,non-graduate,1164154,21553,750,10,246281,home,1164316,6879756,unverified,79443,46385,Fully Eligible
female,single,3,private,non-graduate,1707988,33821,155195,3,291718,business,340304,1352591,verified,136759,90864,Fully Eligible
male,single,2,private,non-graduate,2447786,49075,108863,4,297887,home,1669376,6417909,verified,233277,262864,Fully Eligible
male,single,0,self-employed,graduate,963962,16585,381245,1,277301,education,488472,1673243,verified,112525,113285,Fully Eligible
male,married,2,government,postgraduate,1349943,32689,457190,1,138565,personal,1274666,4725841,verified,186339,77521,Fully Eligible
female,married,2,private,non-graduate,779841,17943,466766,10,288210,car,878086,3700072,verified,151393,77088,Fully Eligible
female,single,2,private,postgraduate,1305855,31724,390534,9,220606,personal,1676792,8943405,unverified,71347,97405,Fully Eligible
female,single,2,private,graduate,2332760,34555,42732,11,283370,business,651405,4171124,verified,523460,221587,Fully Eligible
female,married,0,private,non-graduate,2357992,54146,225867,4,174625,home,1464326,5780889,verified,585763,140403,Fully Eligible
male,single,0,private,graduate,735058,15471,243505,10,61482,education,1823159,6090368,verified,178489,26103,Fully Eligible
female,single,0,private,graduate,779749,10916,313382,4,132228,education,1345461,6389343,verified,105262,53975,Fully Eligible
male,single,2,private,graduate,1238246,12518,175302,6,44401,home,956234,6165388,verified,160813,61022,Fully Eligible
male,married,3,private,postgraduate,1562799,30803,310190,2,274485,home,1981266,8810019,verified,241397,184585,Fully Eligible
female,single,3,private,graduate,1593536,16903,143464,6,254110,home,330895,2338227,verified,291491,187473,Fully Eligible
female,married,0,self-employed,graduate,625112,8269,448069,13,105409,education,483664,1808697,verified,65960,24208,Fully Eligible
female,single,3,private,postgraduate,894473,14913,118553,7,213129,personal,1733657,10907423,verified,161888,69418,Fully Eligible
female,married,3,government,postgraduate,999754,19659,172538,1,243965,personal,1398807,6768536,verified,111821,41133,Fully Eligible
female,single,3,government,postgraduate,1256323,29863,389689,8,68909,education,1898421,5762902,verified,228818,145458,Fully Eligible
female,single,3,government,graduate,2296354,41841,360776,13,77418,car,569326,2223423,verified,414580,73946,Fully Eligible
female,married,3,government,postgraduate,1505208,29387,386738,6,6675,business,285361,1937919,verified,75509,124274,Fully Eligible
female,married,1,private,graduate,838990,11326,324567,9,182548,education,352203,890876,verified,188143,40515,Fully Eligible
male,married,0,private,graduate,2013560,39844,342323,13,30649,car,1857292,11666966,verified,178219,221056,Fully Eligible
female,married,2,private,graduate,258697,4043,188637,4,258616,business,600767,3939248,verified,64299,14402,Fully Eligible
female,married,3,self-employed,postgraduate,235903,5335,479023,11,86084,personal,1838169,5696830,verified,37746,18589,Partially Eligible
male,married,1,government,graduate,398885,5933,15386,2,126149,home,273795,2001700,verified,50778,12209,Fully Eligible
female,married,2,government,graduate,2495416,40270,252576,9,91798,business,1642590,11270555,verified,170543,370993,Fully Eligible
male,single,1,private,graduate,1028639,15988,290966,8,240686,home,1007755,3418966,unverified,191529,123942,Fully Eligible
male,single,3,self-employed,graduate,1623072,35467,104620,2,200179,car,1603832,5945862,verified,197945,80712,Fully Eligible
female,single,3,private,non-graduate,2198483,53265,469714,8,211186,education,1796632,11843918,verified,533341,183024,Fully Eligible
male,married,3,private,non-graduate,758819,10462,274275,11,24050,education,1311173,6859881,verified,168043,68134,Fully Eligible
male,single,3,self-employed,graduate,2027357,32945,189394,8,34540,home,1960845,13947176,verified,151813,115796,Fully Eligible
male,single,2,private,graduate,1758009,35333,429077,5,98311,business,394243,2915704,verified,248824,70663,Fully Eligible
male,married,2,government,graduate,2290140,53260,203561,7,219237,business,657305,2771990,verified,317921,225203,Fully Eligible
